GUID ec23c0ed4c8d45d98046a4e22790ccb9
Response_4_Reward_1_Type Flag_Bool
Response_4_Reward_1_ID 3490
Response_4_Reward_1_Value False
Response_4_Reward_2_Type Flag_Bool
Response_4_Reward_2_ID 3491
Response_4_Reward_2_Value False
Response_4_Reward_3_Type Flag_Bool
Response_4_Reward_3_ID 3492
Response_4_Reward_3_Value False
Response_4_Reward_4_Type Flag_Bool
Response_4_Reward_4_ID 3493
Response_4_Reward_4_Value False
Response_4_Reward_5_Type Flag_Bool
Response_4_Reward_5_ID 3494
Response_4_Reward_5_Value False
Response_4_Reward_6_Type Flag_Bool
Response_4_Reward_6_ID 3495
Response_4_Reward_6_Value False
Response_4_Reward_7_Type Flag_Bool
Response_4_Reward_7_ID 3496
Response_4_Reward_7_Value False
Response_4_Reward_8_Type Flag_Bool
Response_4_Reward_8_ID 3497
Response_4_Reward_8_Value False
Response_4_Reward_9_Type Flag_Bool
Response_4_Reward_9_ID 3498
Response_4_Reward_9_Value False
Response_4_Reward_10_Type Flag_Short
Response_4_Reward_10_ID 3489
Response_4_Reward_10_Value 0
Response_4_Reward_10_Modification Assign
Response_4_Reward_11_Type Flag_Short
Response_4_Reward_11_ID 3488
Response_4_Reward_11_Value 0
Response_4_Reward_11_Modification Assign
Response_4_Reward_12_Type Flag_Short
Response_4_Reward_12_ID 3486
Response_4_Reward_12_Value 6
Response_4_Reward_12_Modification Assign
Response_4_Reward_13_Type Flag_Short
Response_4_Reward_13_ID 3487
Response_4_Reward_13_Value 8
Response_4_Reward_13_Modification Assign

Response_5_Messages 1
Response_5_Message_0 2
Response_5_Dialogue 3504
Response_5_Quest 3485
Response_5_Conditions 2
Response_5_Condition_0_Type Quest
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_ID 3483
Response_5_Condition_0_Status Completed
Response_5_Condition_1_Type Quest
Response_5_Condition_1_Logic Equal
Response_5_Condition_1_ID 3485
Response_5_Condition_1_Status None
Response_5_Rewards 1
Response_5_Reward_0_Type Quest
Response_5_Reward_0_ID 3485

Response_6_Messages 1
Response_6_Message_0 2
Response_6_Dialogue 3505
Response_6_Quest 3485
Response_6_Conditions 1
Response_6_Condition_0_Type Quest
Response_6_Condition_0_Logic Equal
Response_6_Condition_0_ID 3485
Response_6_Condition_0_Status Ready
Response_6_Condition_0_Reset

Response_7_Messages 1
Response_7_Message_0 2

Response_8_Messages 1
Response_8_Message_0 1

Response_9_Messages 1
Response_9_Message_0 0
