GUID cd8a997299eb4d2b9cb57a6b4b27ea8f
Message_6_Reward_0_Min_Value 1
Message_6_Reward_0_Max_Value 12
Message_6_Reward_0_Modification Assign

Message_7_Pages 1
Message_7_Conditions 2
Message_7_Condition_0_Type Flag_Short
Message_7_Condition_0_ID 3653
Message_7_Condition_0_Value 6
Message_7_Condition_0_Logic Equal
Message_7_Condition_1_Type Flag_Short
Message_7_Condition_1_ID 3017
Message_7_Condition_1_Value 6
Message_7_Condition_1_Logic Greater_Than_Or_Equal_To
Message_7_Rewards 1
Message_7_Reward_0_Type Flag_Short_Random
Message_7_Reward_0_ID 3653
Message_7_Reward_0_Min_Value 1
Message_7_Reward_0_Max_Value 12
Message_7_Reward_0_Modification Assign

Message_8_Pages 1
Message_8_Conditions 2
Message_8_Condition_0_Type Flag_Short
Message_8_Condition_0_ID 3653
Message_8_Condition_0_Value 7
Message_8_Condition_0_Logic Equal
Message_8_Condition_1_Type Flag_Short
Message_8_Condition_1_ID 3017
Message_8_Condition_1_Value 6
Message_8_Condition_1_Logic Greater_Than_Or_Equal_To
Message_8_Rewards 1
Message_8_Reward_0_Type Flag_Short_Random
Message_8_Reward_0_ID 3653
Message_8_Reward_0_Min_Value 1
Message_8_Reward_0_Max_Value 12
Message_8_Reward_0_Modification Assign

Message_9_Pages 1
Message_9_Conditions 2
Message_9_Condition_0_Type Flag_Short
Message_9_Condition_0_ID 3653
Message_9_Condition_0_Value 8
Message_9_Condition_0_Logic Equal
Message_9_Condition_1_Type Flag_Short
Message_9_Condition_1_ID 3017
Message_9_Condition_1_Value 6
Message_9_Condition_1_Logic Greater_Than_Or_Equal_To
Message_9_Rewards 1
Message_9_Reward_0_Type Flag_Short_Random
Message_9_Reward_0_ID 3653
Message_9_Reward_0_Min_Value 1
Message_9_Reward_0_Max_Value 12
Message_9_Reward_0_Modification Assign

Message_10_Pages 1
Message_10_Conditions 2
Message_10_Condition_0_Type Flag_Short
Message_10_Condition_0_ID 3653
Message_10_Condition_0_Value 9
Message_10_Condition_0_Logic Equal
Message_10_Condition_1_Type Flag_Short
Message_10_Condition_1_ID 3017
Message_10_Condition_1_Value 6
Message_10_Condition_1_Logic Greater_Than_Or_Equal_To
Message_10_Rewards 1
Message_10_Reward_0_Type Flag_Short_Random
Message_10_Reward_0_ID 3653
Message_10_Reward_0_Min_Value 1
Message_10_Reward_0_Max_Value 12
Message_10_Reward_0_Modification Assign

Message_11_Pages 1
Message_11_Conditions 2
Message_11_Condition_0_Type Flag_Short
Message_11_Condition_0_ID 3653
Message_11_Condition_0_Value 10
Message_11_Condition_0_Logic Equal
Message_11_Condition_1_Type Flag_Short
Message_11_Condition_1_ID 3017
Message_11_Condition_1_Value 6
Message_11_Condition_1_Logic Greater_Than_Or_Equal_To
Message_11_Rewards 1
Message_11_Reward_0_Type Flag_Short_Random
Message_11_Reward_0_ID 3653
Message_11_Reward_0_Min_Value 1
Message_11_Reward_0_Max_Value 12
Message_11_Reward_0_Modification Assign

Message_12_Pages 1
Message_12_Conditions 2
Message_12_Condition_0_Type Flag_Short
Message_12_Condition_0_ID 3653
Message_12_Condition_0_Value 11
Message_12_Condition_0_Logic Equal
Message_12_Condition_1_Type Flag_Short
Message_12_Condition_1_ID 3017
Message_12_Condition_1_Value 6
Message_12_Condition_1_Logic Greater_Than_Or_Equal_To
Message_12_Rewards 1
Message_12_Reward_0_Type Flag_Short_Random
Message_12_Reward_0_ID 3653
Message_12_Reward_0_Min_Value 1
Message_12_Reward_0_Max_Value 12
Message_12_Reward_0_Modification Assign

Message_13_Pages 1
Message_13_Conditions 2
Message_13_Condition_0_Type Flag_Short
Message_13_Condition_0_ID 3653
Message_13_Condition_0_Value 12
Message_13_Condition_0_Logic Equal
Message_13_Condition_1_Type Flag_Short
Message_13_Condition_1_ID 3017
Message_13_Condition_1_Value 6
Message_13_Condition_1_Logic Greater_Than_Or_Equal_To
Message_13_Rewards 1
Message_13_Reward_0_Type Flag_Short_Random
Message_13_Reward_0_ID 3653
Message_13_Reward_0_Min_Value 1
Message_13_Reward_0_Max_Value 12
Message_13_Reward_0_Modification Assign

Responses 2

Response_0_Messages 13
Response_0_Message_0 1
Response_0_Message_1 2
Response_0_Message_2 3
Response_0_Message_3 4
Response_0_Message_4 5
Response_0_Message_5 6
Response_0_Message_6 7
Response_0_Message_7 8
Response_0_Message_8 9
Response_0_Message_9 10
Response_0_Message_10 11
Response_0_Message_11 12
Response_0_Message_12 13

Response_1_Messages 1
Response_1_Message_0 0
