GUID 0179e55c10cd4b9f85e3890ebe066873
Response_4_Reward_2_Value False
Response_4_Reward_3_Type Flag_Bool
Response_4_Reward_3_ID 3088
Response_4_Reward_3_Value False

//Complete Conflict I Quest
Response_5_Dialogue 3092
Response_5_Quest 3090
Response_5_Conditions 1
Response_5_Condition_0_Type Quest
Response_5_Condition_0_Logic Equal
Response_5_Condition_0_ID 3090
Response_5_Condition_0_Status Ready
Response_5_Condition_0_Reset
//Choose Next Mission
Response_5_Rewards 1
Response_5_Reward_0_Type Flag_Short_Random
Response_5_Reward_0_ID 3385
Response_5_Reward_0_Min_Value 1
Response_5_Reward_0_Max_Value 3
Response_5_Reward_0_Modification Assign

//Hoplite Rank Up
Response_6_Dialogue 3321
Response_6_Messages 1
Response_6_Message_0 3
Response_6_Rewards 3
// Top
Response_6_Reward_0_Type Item
Response_6_Reward_0_ID 3526
Response_6_Reward_0_Amount 1
// Beanie
Response_6_Reward_1_Type Item
Response_6_Reward_1_ID 3531
Response_6_Reward_1_Amount 1
//Increase Rank
Response_6_Reward_2_Type Flag_Short
Response_6_Reward_2_ID 3017
Response_6_Reward_2_Value -1
Response_6_Reward_2_Modification Increment

//Captain Rank Up
Response_7_Dialogue 3321
Response_7_Messages 1
Response_7_Message_0 4
Response_7_Rewards 2
// Top
Response_7_Reward_0_Type Item
Response_7_Reward_0_ID 3527
Response_7_Reward_0_Amount 1
//Increase Rank
Response_7_Reward_1_Type Flag_Short
Response_7_Reward_1_ID 3017
Response_7_Reward_1_Value -1
Response_7_Reward_1_Modification Increment

//Battalion Leader Rank Up
Response_8_Dialogue 3321
Response_8_Messages 1
Response_8_Message_0 5
Response_8_Rewards 2
// Top
Response_8_Reward_0_Type Item
Response_8_Reward_0_ID 3528
Response_8_Reward_0_Amount 1
//Increase Rank
Response_8_Reward_1_Type Flag_Short
Response_8_Reward_1_ID 3017
Response_8_Reward_1_Value -1
Response_8_Reward_1_Modification Increment


//Colonel Rank Up
Response_9_Dialogue 3321
Response_9_Messages 1
Response_9_Message_0 6
Response_9_Rewards 2
// Top
Response_9_Reward_0_Type Item
Response_9_Reward_0_ID 3529
Response_9_Reward_0_Amount 1
//Increase Rank
Response_9_Reward_1_Type Flag_Short
Response_9_Reward_1_ID 3017
Response_9_Reward_1_Value -1
Response_9_Reward_1_Modification Increment


//Brigadier Rank Up
Response_10_Dialogue 3321
Response_10_Messages 1
Response_10_Message_0 7
Response_10_Rewards 2
// Top
Response_10_Reward_0_Type Item
Response_10_Reward_0_ID 3530
Response_10_Reward_0_Amount 1
//Increase Rank
Response_10_Reward_1_Type Flag_Short
Response_10_Reward_1_ID 3017
Response_10_Reward_1_Value -1
Response_10_Reward_1_Modification Increment

//Any Special Missions?
//Conflicts Dialogue Menu
Response_11_Dialogue 3386
Response_11_Messages 1
Response_11_Message_0 8
Response_11_Conditions 1
//Are a Hoplite
Response_11_Condition_0_Type Flag_Short
Response_11_Condition_0_ID 3017
Response_11_Condition_0_Value -3
Response_11_Condition_0_Logic Less_Than_Or_Equal_To
//Choose Next Mission
//Response_11_Rewards 1
//Response_11_Reward_0_Type Flag_Short_Random
//Response_11_Reward_0_ID 3385
//Response_11_Reward_0_Min_Value 1
//Response_11_Reward_0_Max_Value 3
//Response_11_Reward_0_Modification Assign

//I'd Like to Trade
Response_12_Messages 1
Response_12_Message_0 8
Response_12_Dialogue 3453
Response_12_Vendor 3452

//Goodbye
Response_13_Messages 8
Response_13_Message_0 1
Response_13_Message_1 2
Response_13_Message_2 3
Response_13_Message_3 4
Response_13_Message_4 5
Response_13_Message_5 6
Response_13_Message_6 7
Response_13_Message_7 8
